Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2023-11-20,2023,Tata Steel Limited,TATASTEEL.NS,NSE,119.79,122.04,118.83,120.65,113467966
2023-11-27,2023,Tata Steel Limited,TATASTEEL.NS,NSE,120.65,124.82,120.65,124.53,112827509
2023-12-04,2023,Tata Steel Limited,TATASTEEL.NS,NSE,126.64,127.79,122.56,123.76,186256714
2023-12-11,2023,Tata Steel Limited,TATASTEEL.NS,NSE,124.38,130.99,123.33,130.71,198252030
2023-12-18,2023,Tata Steel Limited,TATASTEEL.NS,NSE,131.09,131.81,122.47,127.93,177956002
2023-12-25,2023,Tata Steel Limited,TATASTEEL.NS,NSE,127.93,135.3,127.93,133.72,157901933
2024-01-01,2024,Tata Steel Limited,TATASTEEL.NS,NSE,134.11,135.02,127.26,128.02,209370471
2024-01-08,2024,Tata Steel Limited,TATASTEEL.NS,NSE,129.61,130.52,126.2,129.61,153507479
2024-01-15,2024,Tata Steel Limited,TATASTEEL.NS,NSE,130.28,132.67,122.8,128.6,227429542
2024-01-22,2024,Tata Steel Limited,TATASTEEL.NS,NSE,128.6,130.75,123.86,128.12,136072928
2024-01-29,2024,Tata Steel Limited,TATASTEEL.NS,NSE,129.03,133.72,127.88,132.86,202526924
2024-02-05,2024,Tata Steel Limited,TATASTEEL.NS,NSE,134.11,141.2,133.29,135.35,270407217
2024-02-12,2024,Tata Steel Limited,TATASTEEL.NS,NSE,136.02,137.41,128.46,136.31,158678657
2024-02-19,2024,Tata Steel Limited,TATASTEEL.NS,NSE,136.93,140.91,134.16,139.33,204408397
2024-02-26,2024,Tata Steel Limited,TATASTEEL.NS,NSE,139.71,144.31,133.53,143.64,223369771
2024-03-04,2024,Tata Steel Limited,TATASTEEL.NS,NSE,148.38,152.45,141.68,150.63,281373418
2024-03-11,2024,Tata Steel Limited,TATASTEEL.NS,NSE,152.21,152.21,132.53,135.74,320480492
2024-03-18,2024,Tata Steel Limited,TATASTEEL.NS,NSE,136.55,146.32,136.21,145.41,501934958
2024-03-25,2024,Tata Steel Limited,TATASTEEL.NS,NSE,145.41,150.39,144.17,149.29,150869629
